,Post ID,Discussion Group,Author,Author Label,Topic,Body,Likes,Replies,Tags,Labels,Solution Link,Date,Time
0,506514,Prisma SD-WAN Discussions,ce.Don,L0 Member,External Reporting connectivity from CloudGenix to Power BI report services,Does CloudGenix offer an API connection to our reporting data? Or any other means to connect to our reporting data without manly downloading images or Excel files? Thank youDon Price,0,"
		1 REPLY 1
",", CloudGenix Reporting",,,06-27-2022,09:32 AM
1,,Prisma SD-WAN Discussions,kn,,,,,,,", cloudgenix, Prisma SD-WAN, SD-WAN",,,
2,503404,Prisma SD-WAN Discussions,Sabjul,L1 Bithead,lots of lost packets after migrate to Prisma SD-WAN,"Hi, (sorry for me English, i'm french)",0,"
		1 REPLY 1
",,,,06-14-2022,01:32 AM
3,504478,Prisma SD-WAN Discussions,SureshM,L1 Bithead,Cloudgenix SDWAN ion1000 limitation,Cloudgenix SDWAN ion1000 limitation has the following limitation .1) NAT wont work at times 2) multiple dot1q in LAN interfaces . DO anyone faced such issues ?,0,"
		3 REPLIES 3
",", cloudgenix, ION 1000",,,06-17-2022,06:37 AM
4,492612,Prisma SD-WAN Discussions,scott48361,L0 Member,Prisma SD-WAN Virtual Bypass Pair On 3108v,"How do you properly setup 'Virtual Bypass Pairs' on virtual IONs for a branch HA design? The Palo documentation implies you can use bypass pairs (via the link below), but the configuration is not straightforward. I'm trying to setup branch HA on a couple of 3108v on VMware ESXi. https://docs.paloaltonetworks.com/prisma/prisma-sd-wan/prisma-sd-wan-admin/prisma-sd-wan-sites-and-d...",0,"
		1 REPLY 1
",,,,05-26-2022,08:52 AM
5,479731,Prisma SD-WAN Discussions,AndyPanuco,L0 Member,ION 2000 Latest Firmware Recommendation,What is the best recommended software version for the ION 2000?,0,"
		2 REPLIES 2
",,,,04-11-2022,12:30 PM
6,497342,Prisma SD-WAN Discussions,TKlausen2,L0 Member,Finding a rogue IP in Prisma SD-WAN,Greetings. Looks like someone misconfigured a global/local slider and we're receiving a /32 IP address in the BGP route table from the Data Center IONs. I'd like to identify the offending site quickly - is there an easy way to locate an IP by site using the portal? Prisma SD-WAN   ,0,"
		2 REPLIES 2
",,,,06-01-2022,09:43 AM
7,486456,Prisma SD-WAN Discussions,Carl-Burton,L0 Member,Custom reports on Panorama,"Hi,Is there a way on Panorama to get custom reporting for all managed paloalto devices WAN health? Please see below: Metrics- up-time- WAN capacity utilized- interface error- Application usage- Latency",0,"
		0 REPLIES 0
",,,,05-11-2022,01:32 PM
8,483159,Prisma SD-WAN Discussions,Krishnatpi,L0 Member,Need help to download PA-3020  PAN OS,Recently we  received a Vulnerability which directed us to  upgrade our Palo Alto firewall from 8.1.11 to 8.1.23. But our firewall support is elapsed and our organization planning to move to palo alto cloud but it will take time. since the support is elapsed i am unable to download PAN OS 3020 software though palo alto support portal . I need help & guidance to download the software to upgrade my hardware to the mentioned version. Please help.,0,"
		0 REPLIES 0
",,,,04-27-2022,07:15 AM
9,474970,Prisma SD-WAN Discussions,4cls,L0 Member,Cloudblades,"Is there a comprehensive list of cloudblade capabilities, and some architecture guides? ",0,"
		1 REPLY 1
",,,https://live.paloaltonetworks.com//t5/prisma-sd-wan-discussions/cloudblades/m-p/474974#M21,03-22-2022,07:52 AM
