,Discussion Title,Author,Body,Likes,Date,Time
0,"
      NTP autokey auth or NTS on Palo
    ",Astardzhiev,"Hi @LeviMolloy ,Unfortunately at this point your only options are autokey and symmetric key. Current versions (up to 10.2) are not supporting NTS",0,07-07-2022,06:22 AM
1,"
      GRE Tunnel
    ",avelK,"Thank you for the post@smshafekcould you confirm what error it throws on Zscaler side when it goes down? Navigate to: ZIA > Analytics > Tunnel Insights > Logs, then check Tunnel Status and Event Reason (Make sure that these options are enabled in view):Have you enabled GRE keepalive in Palo Alto side?Kind RegardsPavel",0,06-10-2022,04:35 PM
2,"
      GRE Tunnel
    ",smshafek,"Hi@PavelKit shows for both tunnel status and event reason none and none.Yes, I have enabled GRE keepalive in Palo Alto. I've created two tunnel interfaces, set up the GRE Tunnels for the two interfaces, enabled NAT and policy based forwarding. Do I have to add a next hop in the policy based forwarding? And which IP Address should I enter for tunnel monitoring?Thanks!",0,06-13-2022,02:01 AM
3,"
      GRE Tunnel
    ",avelK,"Thank you for reply@smshafekif it shows ""none"" in theInsights Logs, then there is no way to drill down more details from Zscaler portal. The official answer from Zscaler is to open a support ticket and troubleshoot it in real time with support staff.Would it be possible to check system logs on Palo Alto side:(subtype eq gre) ?Regarding your question, from my point of view since GRE tunnel is point to point, it is not must to add next hop along with egress interface, however a sample configuration from Zscaler has next hop set:https://community.zscaler.com/t/gre-tunnel-from-palo-alto-firewall/8024/2so it will not hurt to add it to PBF. Regarding the monitoring, I would target the next hop IP address (Internal ZIA Public Service Edge IP).Kind RegardsPavel",0,06-13-2022,04:17 PM
4,"
      GRE Tunnel
    ",smshafek,"Hi Pavel,it shows in the system logs critical and ""Tunnel GRE-ZSC is going down"" for both tunnels. I've also configured policy based forwarding and in the system logs it shows ""Vsys 1 PBF rule GRE-ZSC nexthop is going down"".I'm not sure how I should continue with troubleshooting from here.Thanks again!",0,06-14-2022,01:40 AM
5,"
      GRE Tunnel
    ",avelK,"Thank you for reply@smshafekfrom what you described, your configuration looks fine. I am sorry, I am running out of ideas.When the GRE tunnel goes down are you able to ping from the interface that is used to build tunnel the Zscaler's PSE IP address? If it is reachable and you do not have any connectivity issue, I would open a ticket with Zscaler.Kind RegardsPavel",0,06-15-2022,03:21 AM
6,"
      Cortex-XDR
    ",slick,"Malicious software will be blocked from running on the endpoint. If there are other applications that you wish to block, I would recommend creating an IoC, or you can denylist paths on a machine.",0,06-14-2022,10:07 AM
7,"
      IP Drop - Spoofing - Internal Zones Only?
    ",slick,"How would this work for external zones? Here is what the feature accomplishes:Check that the source IP address of the ingress packet is routable and the routing interface is in the same zone as the ingress interface. If either condition is not true, discard the packet.So, an internal zone (receiver of ingress packets) checks that wherever the packet says it is going, is both reachable from the table on hand, and that table matches the zone the packet is coming into. Else, drop.On an external zone, you don't control the routing table, so how would that check be accomplished?",0,06-14-2022,09:58 AM
8,"
      Looking to automate a monthly pull of the BPA results.
    ",slick,"We do have an API key to do this for SLRs. I've also seen a demo of XSOAR do this where it takes/uploads/interprets/fixes firewalls automatically, which makes me believe there is a way to do this.Reach out to your acc SE about getting a BPA API key. Then you can run a cronjob or whatever you want to auto-script the push/pull. XSOAR ties into something to accomplish this, so we can utilize that, too.",0,06-14-2022,09:53 AM
9,"
      Performance issues over internet speed from firewall
    ",TomYoung,"Hi @CredAvenue ,What PAN-OS version are you running? There is a known bug that PA-220 firewalls experience slower web interface and CLI performance times with 10.0 and 10.1.https://docs.paloaltonetworks.com/pan-os/10-0/pan-os-release-notes/pan-os-10-0-release-information/k...https://docs.paloaltonetworks.com/pan-os/10-1/pan-os-release-notes/pan-os-10-1-6-known-and-addressed...I have never seen it impact the data plane on my PA-220. My PA-220 runs hot (sometimes 100%) on the MP but cool on the DP, but I don't have 30-40K sessions. The max sessions for the PA-220 is 64K. Strange that I don't see the bug for 10.2. Does that mean that it is fixed?Here are some good articles for troubleshooting high CPU. I would fix the DP 1st.https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000ClRTCA0https://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000ClSvCAKhttps://knowledgebase.paloaltonetworks.com/KCSArticleDetail?id=kA10g000000CleLCASFinally, Monitor > App Scope > Network Monitor can be very useful for viewing traffic load and quickly identifying excessive applications. Removing Security Profiles from the rule or using Application Override may decrease load for heavy but ""safe"" applications such as backups to/from your backup server.Thanks,TomEdit: I upgraded my PA-220 to 10.2 and it was slower. I downgraded it back to 10.1.",0,05-27-2022,09:22 PM
10,"
      Performance issues over internet speed from firewall
    ",CredAvenue,Hi TomPAN OS version we are using 10.0.10 and the packets dropping issue is still persists...RegardsSridhar Mohan,0,06-02-2022,04:57 AM
11,"
      Performance issues over internet speed from firewall
    ",OtakarKlier,"Hello,I hate to say it but you might be exceeding the hardware on that little device :(.https://www.paloaltonetworks.com/products/product-comparison?chosen=pa-220,pa-820,pa-450You could try tuning it and or turning off features.Netflow is one that eats up a lot so does decryption. However you are losing visibility when you do :(.Regards,",0,06-09-2022,08:42 AM
12,"
      How to defer allow or block action, only log based on application?
    ",OtakarKlier,"Hello,What I do is add a DENY ALL policy at the bottom of all my rule sets and then set all of the policies to log at session end. This way you will see all traffic, allowed or denied.Hope that helps.",1,05-17-2022,02:52 PM
13,"
      OS upgrade from 10.0.8 to 10.1.5
    ",batd2,"@TWENetworkThe best practice is to upgrade to the recommended release of 10.0.10 first, before upgrading to 10.1.5. So if you following this your upgrade path will be:- Download and Install 10.0.10- Reboot- Download and (optionally) install 10.1.0- Download and install 10.1.5- Reboot",3,05-12-2022,01:01 AM
14,"
      Internal & perimeter firewall topology: Different Link aggregation between a PaloAlto Perimeter and an Internal Firewall to Intermediate Switch
    ",OtakarKlier,"Hello,Why use the fortigate at all? Redesign the network with the PAN at the 'center', e.g. all traffic passing through it. Are there bandwidth constraints now? You can always have 2x ports in an aggregate from the PAN to the switches. Trunk all vlans to the PAN and have the rules there.Just a thought.",1,04-22-2022,02:28 PM
15,"
      Internal & perimeter firewall topology: Different Link aggregation between a PaloAlto Perimeter and an Internal Firewall to Intermediate Switch
    ",aurence64,"HiAs@OtakarKlier has said I am not sure why you wouldn't be using the PA in place of the Fortigate, however to answer your question, I imagine that the issue will come when you start to push more than the 2Gb through that link (which is now possible as your upstream is now 4Gb) then the switch will have no option but to queue the traffic and as the interface buffers become full it will start to tail drop the packets, so if you have critical or connection sensitive traffic you would have to control the flow through Qos.Hope that helps.",0,05-04-2022,11:49 PM
