,Discussion ID,Author,Body,Likes,Date,Time
0,508313,tsullivan7,We are reviewing this issue.,1,07-08-2022,09:23 AM
1,508313,joedeveloper,Thank you for reviewing.,0,07-08-2022,10:52 AM
2,508313,tsullivan7,It is now benign,0,07-14-2022,08:53 AM
3,508455,tsullivan7,We'll review this issue.,1,07-12-2022,10:32 AM
4,508455,Sandor,"FP is gone, thanks a lot!",0,07-13-2022,09:52 PM
5,508431,tsullivan7,Under review.,0,07-12-2022,10:32 AM
6,508195,tsullivan7,Under Review,1,07-07-2022,08:26 AM
7,508195,tsullivan7,The verdict was changed to benign.,1,07-08-2022,09:37 AM
8,508306,tsullivan7,Under review,0,07-08-2022,09:22 AM
9,407829,Hagenes36,Thanks for sharing. I found a lot of interesting information here. A really good post.KabosuCoin,0,05-20-2021,03:17 AM
10,407829,DaBone,This file is not seen as Malware currently,0,06-10-2021,05:14 PM
11,407829,Sandor,"Hi,I'd like to bump up this topic. I'm using this tool daily for many years at the several malware-hunter forums. The tools included in it are updated frequently.So VirusTotal flagged it as False Positive again.File Hash:33a8970658e7e333da0a041aff5ed34bfa6259e8Link to Virustotal report for the file:https://www.virustotal.com/gui/file/76944149d123e99c5a08cf0aa22e621f8c6516f057cc4649f043c28813ad1515...Current VirustTotal Verdict: 1/67Detection name:Generic.mlAnd please pay attention for another one link at VirusTotal report:https://www.virustotal.com/gui/file/c0ff22e2265082d98f99f356744d6557d10fe4fa05f0e25eac9dc04942ee342b...File Hash:2bda4faad2dd7f8a390232e1a1a25515cd5a5f61This is special Autologger_XP for XP systems. And it have same detection:Generic.mlPlease exclude it if it is possible. Thanks in advance.",0,07-07-2022,02:22 AM
12,507857,tsullivan7,Under review,0,07-04-2022,05:19 AM
13,507857,tsullivan7,"The domain is currently classified as ""Business and Economy"" / Low Risk",0,07-05-2022,08:56 AM
14,507857,devops_neurosenaria-labelsum,Thanks a lot it worked. thanks for the quick resolution!,0,07-07-2022,12:51 AM
